Title,Description
Professionell verhandeln - gut vorbereitet zum optimalen Ergebnis,"Verhandlungsgeschick lässt sich lernen. Wichtig dafür ist es, das eigene Verhandlungs-Know-how stetig zu stärken, neue Strategien auszuprobieren, Erfolge darin zu erkennen und für künftige Verhandlungen zu nutzen. Erfahren Sie, wie Sie Verhandlungssituationen als solche wahrnehmen und wie Sie durch gute Vorbereitung und die Auswahl der richtigen Strategie, Verhandlungen in Zukunft für sich zu einem erfolgreichen Abschluss führen.

Lernziele
- Sie erkennen Verhandlungssituationen, auch wenn diese auf den ersten Blick nicht wie solche wirken.
- Sie lernen, auf welche Aspekte Sie sich bei der Vorbereitung von Verhandlungen besonders konzentrieren sollten.
- Sie kennen unterschiedliche Verhandlungsstrategien und wissen, wann Sie welche Strategie einsetzen und wie Sie dabei vorgehen.
- Mithilfe eines Verhandlungssimulators erleben Sie, wie sich Verhandlungsgeschick direkt auf den Erfolg Ihrer Verhandlung auswirkt."
Basiswissen Interkulturelle Kompetenz zeigen,"Digitalisierung, Globalisierung – immer öfter arbeiten wir international stark vernetzt. Ihr Kollege kommt dann nicht mehr aus dem Nachbardorf, sondern aus Indien oder China. Und schon stehen jede Menge Fettnäpfchen bereit. Mit einem Gespür für kulturelle Unterschiede kommen Sie galant daran vorbei. Unnötige Missverständnisse können Sie damit vermeiden. Beispiele aus dem Alltag helfen Ihnen, interkulturelle Herausforderungen zu meistern. Sie waren schon oft im Ausland? Umso besser! Dann holt Sie ein Pretest direkt dort ab, wo Sie stehen, und bringt Sie schnell und sicher ans Ziel.

Lernziele
- Sie wissen, wie interkulturelle Missverständnisse und Fehlwahrnehmungen entstehen und wie Sie ihnen entgegenwirken können.
- Sie erkennen bewusst Ihre eigenen Werte und Handlungspräferenzen und wissen, wie diese international wahrgenommen werden können.
- Sie sensibilisieren sich für Unterschiede in der Selbst- und Fremdwahrnehmung und können bewusster mit Ihrer Außenwahrnehmung umgehen.
- Sie lernen anhand praktischer Beispiele, Ihre Bewertung interkultureller Situationen zu verbessern und können kulturelle Stereotype besser einordnen.
- Lassen Sie kulturelle Konflikte gar nicht erst entstehen, sondern starten Sie in eine bewusste und gut vorbereitete internationale Zusammenarbeit."
Guanxi & Wirtschaftsboom: Interkulturelle Kompetenz zeigen China,"Durch die Globalisierung gehört die Zusammenarbeit mit internationalen Kollegen heute für immer mehr Mitarbeiter zum Alltag – auch für solche, die in der Vergangenheit kaum interkulturelle Berührungspunkte hatten. Entsprechend werden auftretende interkulturelle Missverständnisse häufig zum Problem. An China, dem wirtschaftlichen Schwergewicht in Ostasien, kommt schon heute kaum noch jemand vorbei. Ob als Markt oder als Produktionsstandort, fast jeder ist in China vor Ort. Aber nicht immer funktioniert dort alles nach Plan – anspruchsvolle Luxuskunden, große Bandbreiten in der Produktion und eine hohe Fluktuation sind typische Herausforderungen in der Zusammenarbeit mit China. Lernen Sie, in der internationalen Zusammenarbeit souverän zu handeln und profitieren Sie so von einer professionellen und erfolgreichen Geschäftsbeziehung zu Ihren chinesischen Geschäftspartnern.

Lernziele
- Sie wissen, wie interkulturelle Missverständnisse und Fehlwahrnehmungen entstehen und wie Sie ihnen entgegenwirken können.
- Sie erkennen bewusst Ihre eigenen Werte und Handlungspräferenzen und wissen, wie diese international wahrgenommen werden können.
- Sie konzentrieren sich in Zukunft mehr auf Ihre Arbeit und müssen sich nicht mehr mit unnötigen interkulturellen Konflikten herumschlagen.
- Sie kennen drei der häufigsten Herausforderungen im Umgang mit chinesischen Kontakten und wissen, wie Sie damit umgehen können.
- Sie kennen chinesische Werte und Problemlösungsstrategien und wissen, wie Sie damit umgehen können.
- Sie ersparen sich in Zukunft Unverständnis und tun gezielt das Richtige.
- Sie kennen die chinesischen Etikette-Regeln.
- Sie kennen chinesische Rituale wie das gemeinsame Karaoke und wissen, was von Ihnen erwartet wird.
- Sie bewegen sich sicher im chinesischen Business-Umfeld, ohne sich vor Etikette-Fettnäpfchen fürchten zu müssen."
 Mega-Cities & heilige Kühe: Interkulturelle Kompetenz zeigen Indien,"Durch die Globalisierung gehört die Zusammenarbeit mit internationalen Kollegen heute für immer mehr Mitarbeiter zum Alltag – auch für solche, die in der Vergangenheit kaum interkulturelle Berührungspunkte hatten. Entsprechend werden auftretende interkulturelle Missverständnisse häufig zum Problem. Gerade Indien ist ein Land, mit dem die Zusammenarbeit immer wichtiger wird. Gleichzeitig sind uns viele Aspekte der indischen Geschäftskultur völlig fremd. Hohe Flexibilität, ungewohnte Umgangsformen und die enorme Wichtigkeit von Beziehungen und Hierarchien im Arbeitsalltag sind Dinge, die in Deutschland anders gehandhabt werden. Lernen Sie, in der internationalen Zusammenarbeit souverän zu handeln und profitieren Sie so von einer professionellen und erfolgreichen Geschäftsbeziehung zu Ihren indischen Geschäftspartnern.

Lernziele
- Sie wissen, wie interkulturelle Missverständnisse und Fehlwahrnehmungen entstehen und wie Sie ihnen entgegenwirken können.
- Sie erkennen bewusst Ihre eigenen Werte und Handlungspräferenzen und wissen, wie diese international wahrgenommen werden können.
- Sie konzentrieren sich in Zukunft mehr auf Ihre Arbeit und müssen sich nicht mehr mit unnötigen interkulturellen Konflikten herumschlagen.
- Sie wissen, was Ihre indischen Kontakte bewegt.
- Sie kennen indische Werte und Problemlösungsstrategien und wissen, wie Sie damit umgehen können.
- Sie ersparen sich in Zukunft Unverständnis und tun gezielt das Richtige.
- Sie arbeiten erfolgreich und entspannt mit indischen Kunden und Kollegen zusammen.
- Sie kennen wichtige indische Gepflogenheiten und wissen, was von Ihnen erwartet wird.
- Sie bewegen sich sicher im indischen Business-Umfeld, ohne sich vor Etikette-Fettnäpfchen fürchten zu müssen."
Projektmanagement Basiswissen,"Grundlagenwissen im Bereich Projektmanagement benötigt jeder Mitarbeiter im Unternehmen. Das e-learning Projektmanagement Basiswissen bietet einen praxisorientierten Einstieg in die wichtigsten Methoden und Werkzeuge des Projektmanagements.

Lernziele
- Sie erhalten praktisches Handlungswissen und können die wichtigsten Methoden und Werkzeuge des Projektmanagements gezielt einsetzen.
- Sie wissen, wie Sie Projekte erfolgreich starten, planen und ausführen.
- Sie kennen Methoden zur Überwachung und Steuerung von Projekten.
- Sie wissen, was Sie beim Abschluss eines Projektes alles berücksichtigen müssen und können das Projekt sicher abschließen."
Projektmanagement Basiswissen IPMA,"Die Kompetenz, ein Projekt erfolgreich aufzusetzen und durchzuführen, basiert auf theoretischem Grundlagenwissen. Der Lernpfad ""Projektmanagement Basiswissen IPMA"" liefert neben den Theorien einen praxisorientierten Einstieg mit den wichtigsten Methoden und Werkzeugen auf dem Weg zu einem vielversprechenden Projektausgang. Dieses eLearning ist Teil der Qualifizierung ""IPMA Basis"".

Lernziele
- Sie lernen praktisches Handlungswissen und können die wichtigsten Methoden und Werkzeuge des Projektmanagements gezielt einsetzen, um Projekte sicher zu starten und erfolgreich mitzuarbeiten.
- Das eLearning ist modular aufgebaut – Sie können frei wählen, welche Themen Sie gerade bearbeiten möchten.
- Viele interaktive Übungen und konkrete Fallbeispiele helfen Ihnen, das Gelernte in Ihre eigene Berufspraxis umzusetzen.
- Die Inhalte des eLearnings sind an den Projektmanagement-Standard ICB4 (Individual Competence Baseline 4.0) der GPM / IPMA angelehnt."
Rückentraining,"Bewegungsmangel und langes Sitzen schaden unserem Rücken. In diesem eLearning erfahren Sie, wie Sie durch gezieltes Rückentraining Rückenbeschwerden entgegenwirken und Ihre Rückenmuskulatur stärken können.

Lernziele
- Sie kennen die zentrale Bedeutung von Bewegung für Ihren Rücken.
- Sie können gezielt Übungen zur Schmerzlinderung und -prävention durchführen."
Burn-out Prävention,"Burn-out Betroffene leiden unter einem chronischen Erschöpfungszustand. Doch mit welchen Symptomen kündigt sich ein Burn-Out eigentlich an und wie kann man gezielt vorbeugen? Und warum macht es uns die Gesellschaft oft so schwer, offen über das Thema zu sprechen? Das erfahren Sie in diesem eLearning.

Lernziele
- Sie wissen, wie Sie Anzeichen von erhöhtem Stress erkennen und Körpersignale deuten können.
- Sie wissen, wie Sie langfristig ihre Nerven schonen.
- Sie können Ursachen von Burn-out erkennen und gezielt verhindern.
- Sie können sich langfristig vor Burn-Out schützen."
Gesünder leben mit Handy Apps,"Mittlerweile gibt es Unmengen an Apps rund um das Thema Gesundheit. Dabei kann man schnell den Überblick verlieren. Damit Sie sich im App-Dschungel leichter zurechtfinden, stellen wir Ihnen die Top-Apps aus dem Gesundheitsbereich in diesem eLearning vor.

Lernziele
- Sie kennen die Top-Apps aus dem Gesundheitsbereich und wissen, wie Ihnen Apps dabei helfen, ihre Ziele zu erreichen.
- Sie können mit Apps ihr körperliches und geistiges Wohlbefinden steigern.
- Sie können sich mit Apps bewusster ernähren.
- Sie können mit Apps ihre Leistungen beim Sport tracken und auswerten."
Scrum,"„Zu spät, zu teuer, falsche Features“ – kommt Ihnen das bekannt vor? Dann werden Sie Scrum lieben: Kurze Zyklen, schnelle Ergebnisse und eine hohe Beteiligung aller Entscheider sind nur 3 Gründe, warum Scrum immer populärer wird. Machen Sie sich in nur 20 Minuten mit der Königin der agilen Methoden vertraut.

Lernziele
- Sie erfahren ob Scrum für Ihre Projekte geeignet ist.
- Sie wissen wie ein Sprint im Detail abläuft.
- Sie lernen welche Scrum-Rollen es gibt.
- Sie können besser bewerten, ob Scrum die richtige Methode für Ihr Team ist.
- Sie nutzen hilfreiche Scrum-Elemente direkt in Iihren Projekten."
"Rechtschreibregeln fürs Business - kleine fehler, GROSSE WIRKUNG","Unterstreichen Sie die Expertise Ihres Unternehmens durch korrekte Rechtschreibung. Egal, ob in Korrespondenz, Präsentationen oder Verträgen: nichts wirkt peinlicher und inkompetenter als Schreibfehler in der eigenen Sprache. Machen Sie sich mit diesem eLearning fit für die Regeln der deutschen Sprache und überzeugen Sie Ihre Geschäftspartner durch fehlerfreies Schreiben.

Lernziele
- Sie wissen, welche Wörter man zusammenschreibt und welche nicht.
- Sie beherrschen die grundlegenden Regeln der Groß- und Kleinschreibung.
- Sie wissen, wann ein ""s"", wann ein Doppel-s und wann ein ""ß"" die richtige Wahl ist.
- Sie kennen die Änderungen nach dem Wortstammprinzip.
- Sie kennen die wichtigsten Neuerungen in Bezug auf die Silbentrennung.
- Sie beherrschen die aktuelle Kommasetzung."
Datenschutz    ,"Personenbezogene Daten sind ein kostbares Gut. Deshalb werden sie auch durch die Gesetzgebung besonders geschützt. Das bedeutet: Alle Mitarbeiter, die in Ihrem Unternehmen mit personenbezogenen Daten beispielsweise von Kunden, Lieferanten, Kollegen oder Bewerbern arbeiten, haben nationale Vorschriften und Gesetze sowie entsprechende Richtlinien und Regelungen des Unternehmens einzuhalten. Mit diesem eLearning können Sie alle Mitarbeiter zu diesem sensiblen Thema schulen und so die korrekte Behandlung von persönlichen Daten in Ihrem Unternehmen sicherstellen.

Lernziele
Ihre Mitarbeiter kennen die Regelungen, die es in Bezug auf den Schutz personenbezogener Daten im Einzelnen gibt und wie sich
diese auf deren Aufgaben im Unternehmen auswirken.

Anhand von Beispielen aus der Praxis lernen Ihre Mitarbeiter typische Stolperfallen kennen und diese zu vermeiden.

Ihre Mitarbeiter wissen, wie sie sich bei Fragen und in schwierigen Situationen korrekt verhalten."
Code of Conduct,"Alle Mitarbeiter im Unternehmen müssen rechtskonform agieren. Voraussetzung dafür sind verbindliche Verhaltensstandards für das tägliche Handeln. Denn oft genug kommen Mitarbeiter in Situationen, in denen sie gar nicht wissen, dass ihr Geschäftsgebaren nicht im Einklang mit den Gesetzen steht. Dieses eLearning soll Ihre Mitarbeiter dafür sensibilisieren, wie wichtig ein Verhaltenskodex bzw. das Einhalten von Compliance-Regeln für das Unternehmen und den persönlichen Geschäftsalltag ist. Sie erfahren, an welchen grundsätzlichen Verhaltensregeln Sie sich orientieren können, damit Sie sich und Ihr Unternehmen in schwierigen Situationen schützen und Interessenkonflikte leichter meistern können.

Lernziele
- Ihre Mitarbeiter wissen, was Regeltreue und Integrität für sich selbst und das Unternehmen bedeutet.
- Sie kennen den Nutzen eines Verhaltenskodex für sich selbst, die Geschäftspartner, alle Mitarbeiter und Kollegen.
- Ihre Mitarbeiter wissen, wie sie Interessenkonflikte vermeiden und welche Spielregeln für Zuwendungen gelten.
- Sie kennen die Grundregeln zur Verhinderung von Korruption und verbotenen Wettbewerbsbeschränkungen."
Kartellrecht,"Kartellrechtliche Verbote betreffen viele alltägliche Geschäftsvorgänge im Unternehmen: Kartellrechtliche Fallstricke können in jedem Wettbewerberkontakt, in jedem Vertriebsvertrag, in jeder Preisentscheidung, in jedem Verbandstreffen, in jeder Vertriebsstrategie, in jedem Kundenkontakt und in vielen anderen täglichen Geschäftsvorgängen verborgen liegen. Dieses eLearning unterstützt Sie bei der Umsetzung des Themas Kartellrecht und Sie können alle Mitarbeiter hierzu schulen. So können Sie rechtswidrigen Absprachen vorbeugen und Sorge tragen, dass die geltenden gesetzlichen Bestimmungen in Ihrem Unternehmen eingehalten werden. Nur so können Haftungsrisiken und empfindliche Sanktionen für Ihr Unternehmen vermieden werden.

Lernziele
- Ihre Mitarbeiter wissen, wie wichtig kartellrechtliche Compliance zur Vermeidung von Sanktionen und anderen empfindlichen Nachteilen ist.
- Ihre Mitarbeiter lernen die Grundzüge der Kartellverbote und des Kartellverfahrens.
- Sie bekommen einen Überblick über die praxisrelevantesten Fallgruppen von Kartellrechtsverstößen.
- Ihre Mitarbeiter kennen das richtige Verhalten in Krisensituationen und bei Kartellamtsermittlungen."
Informationssicherheit,"Geschäfts- und Betriebsgeheimnisse wie z. B. Konstruktions- und Herstellungsverfahren, technisches Know-how aber auch Kunden- oder Preisinformationen sind heutzutage der Grundstock vieler Unternehmen. Sie zu schützen stellt eine wichtige Unternehmensaufgabe dar. Dabei geht es zum einen um den Schutz vor Datenverlust. Zum anderen rückt das Thema Datenmissbrauch wie z. B. Datendiebstahl seit einigen Jahren immer mehr in den Vordergrund. Aus diesen Gründen ist der Schutz vertraulicher Unternehmensinformationen von großer Bedeutung, um Ihr Unternehmen vor wirtschaftlichen Schäden zu bewahren.

Lernziele
- Ihre Mitarbeiter erhalten einen Überblick über die wichtigsten organisatorischen und technischen Sicherheitsmaßnahmen, zum Schutz der Informationen.
- An Beispielen aus der Praxis erfahren Ihre Mitarbeiter, wie sie selbst mit dem eigenen Verhalten dazu beitragen können, Geschäfts- und Betriebsgeheimnisse zu schützen.
- Ihre Mitarbeiter wissen, wie sie sich bei Fragen und in schwierigen Situationen korrekt verhalten."
Trade Compliance: Exportkontrolle und Embargos,"Die meisten denken bei Exportkontrolle an die Kontrolle von Rüstungsgütern. Jedoch können auch zivile Güter schnell unter diese Regelungen fallen, wenn sie auch für den Rüstungssektor relevant sind. Zudem nehmen Embargos einen immer größeren Stellenwert ein. Dabei ist es wichtig, bestehende Embargos unabhängig von der Exportkontrolle ziviler Güter zu beachten. Es ist wichtig zu wissen, wie Sie die betroffenen Güter erkennen. Alle Mitarbeiter stehen in die Pflicht: Denn Gewissenhaftigkeit, Genauigkeit und Aufmerksamkeit bei der Aufgabenerfüllung sind unerlässliche Bausteine zum Unternehmenserfolg.

Lernziele
- Sie wissen, wie Sie Dual-Use-Güter erkennen und was Sie beim Export dieser Güter beachten müssen.
- Durch die Bewertung von praxisnahen Fällen lernen Sie die rechtlichen Grundlagen sowie die Sanktionen bei Verstößen kennen.
- Anhand von Praxisbeispielen erfahren Sie, wie Sie frühzeitig Warnsignale erkennen können."
Geldwäscheprävention,"Im Berufsalltag kommen Mitarbeiter in Situationen, in denen sie ungewollt zu Helfern von Geldwäschern werden. Und dies betrifft längst nicht mehr nur einzelne Branchen oder Unternehmen, in denen Luxusprodukte mit Bargeld bezahlt werden. Auch Industrieunternehmen, die Produkte herstellen oder damit handeln, können zur Geldwäsche missbraucht werden. Solche Situationen zu erkennen und richtig handeln zu können, hilft Ihnen, sich selbst und Ihr Unternehmen vor Unannehmlichkeiten, Haftung oder Strafverfolgung und Imageverlust zu schützen.

Lernziele
- Ihre Mitarbeiter wissen, wie sie mit Geldwäsche in Berührung kommen und sich in solchen Situationen korrekt verhalten können.
- Ihre Mitarbeiter kennen die Sorgfaltspflichten für ihr Unternehmen.
- Anhand von Praxisbeispielen erfahren Ihre Mitarbeiter, wie sie sich vor Geldwäsche schützen können."
Digitale Recherche,"Die moderne, von der Digitalisierung geprägte Arbeitswelt konfrontiert uns jeden Tag mit einer komplexen Realität, in der sich Dinge schnell verändern. Unser täglicher Informationsbedarf ist daher sehr groß. Gleichzeitig hat die jederzeit verfügbare Informationsmenge nie vermutete Ausmaße angenommen. Fast zu jeder Frage finden wir im Internet jederzeit eine Antwort. Diese riesige Informationsmenge kann aber auch überfordern, wenn die Zahl der Suchergebnisse explodiert und die verfügbare Zeit gering ist.
Genau deswegen ist es wichtig, dass Sie sich mit den Grundlagen der Informationskompetenz befassen. Das E-Learning begleitet Sie dabei, Ihre Internetrecherchen strukturiert und zeiteffizient zu gestalten. Entwickeln Sie ein Bauchgefühl für einen souveränen Umgang mit dem Internet, einem wichtigen Teilaspekt der Digital Literacy."
Praxiswissen Führung,"15 eigenständige WBTs bieten Führungskräften Unterstützung bei der Bewältigung Deiner neuen Aufgaben.

Nutzen
Die WBTs bieten Führungskräften Unterstützung bei der Bewältigung Deiner neuen Führungsaufgaben."
Home Office: mehr Produktivität und besseres Selbstmanagement,"Auch wenn das Homeoffice in der Arbeitswelt nicht den besten Ruf genießt, kann es sogar in manchen Fällen noch produktiver sein, als im Büro.  Dafür bedarf es nur ein paar wichtige Tipps zu beachten und schon kannst Du mehr Flexibilität & Freiheit genießen - und bist weniger Stress ausgesetzt als im Büro.

Aufgrund der Corona-Krise sind nun Millionen von uns zum Homeoffice gezwungen. Abgesehen von dieser außergewöhnlichen Situation geht der Trend des Homeoffice langsam und branchenübergreifend seit vielen Jahren in Richtung des flexiblen Arbeitens. In immer mehr Unternehmen besteht die Möglichkeit im Homeoffice zu arbeiten. Doch dafür benötigt es viele praktische Tipps, wie Du Deine Produktivität im Homeoffice extrem steigern kannst. Diese erlernst Du hier im Kurs!

Nutzen
Lerne mithilfe dieses Kurses mehr Fokus und weniger Stress im Home Office zu haben."
Social Media Guidelines Online Kurs,"„Gefällt mir“ oder besser nicht? Soziale Netzwerke bieten nicht nur große Chancen für Dich und Deinen Arbeitgeber, sondern bringen auch Risiken mit sich. Aufklärung ist dementsprechend elementar. Du kannst durch Dein Verhalten die Wahrnehmung und das Image Deines Arbeitgebers maßgebend beeinflussen.

Nutzen
Mit diesem Lernprogramm lernst Du die wichtigsten Richtlinien für einen verantwortungsvollen und sicheren Umgang mit sozialen Netzwerken kennen. Du wirst verstehen, wie Du Dich im Social Media in Bezug auf verschiedene Situationen verhalten sollst um Deinem Unternehmen nicht zu schaden."
Marketing Grundlagen,"Die richtige Marktposition für Dein Unternehmen. Mit Beginn des 21. Jahrhunderts mussten die Konzepte der Positionierung im Bereich der Markenkommunikation geändert werden. Klassische Entwürfe waren nicht länger mit den derzeitigen Produktpräsentationen vereinbar. Jungunternehmer, Führungskräfte aus der Abteilung Marketing und Selbstständige haben mit diesem Kurs die Möglichkeit, sich mit den aktuellen Aufgaben von Brandings vertraut zu machen.
Nutzen
Lerne diese drei Funktionen geschickt einzusetzen:

Finden des Alleinstellungsmerkmals (USP)
Effiziente Positionierung zum besseren Hervorheben gegenüber der Konkurrenz
Abstimmen der eigenen Kommunikation mit den Kundenbedürfnissen"
Überzeuge im Gespräch! Die 20 besten Kommunikationstipps,"Die Art und Weise, wie wir kommunizieren, bestimmt die Qualität unseres gesamten Lebens. Dieser Online-Kurs hilft Dir, in 1:1 Gesprächssituationen den Gesprächspartner zu überzeugen und schnell Vertrauen aufzubauen.

In diesem Kurs lernst Du in kurzen und knackigen Video-Lektionen Tipps und Tricks der besten gegenwärtigen und früheren Kommunikatoren der Welt. Unter anderem von Tony Robbins, Simon Sinek, Fischer / Ury, Stephen Covey, Marshal Rosenberg, aber auch von klassischen Denkern wie Plato, Aristoteles und Schopenhauer.

Nutzen
Menschen in 1:1 Gesprächen überzeugende
Richtig kommunizieren mit Empathie"
Leadership Skills,"How to become an inspiring leader!

Every team is defined by its leader. He or she needs to be able to motivate, challenge and – most importantly – steer their team in the right direction.

Tony Hunt, a skilful and well experienced facilitator with experience of working in many countries, explores the qualities that every leader should work towards developing. From the creation of mission statements, to managing Time;  from developing a strategic overview and coming to understand the individual needs of each team member. From aligning a Coaching approach to help create effective Appraisals, this programme provides a toolbox that every leader should consider using.

Furthermore this course expands on:

Effective methods of Communication
The value of Coaching and its use as a leadership tool
Performance Management and Appraisal Processes"
Legal English,"Improve your legal English skills!

Legal English is a field of the English language which deals with law related issues and how to communicate them properly.

This video course includes the three different aspects of legal English:

General English skills
Specific law and legal skills
Communication skills
Lecturer Tim Aghotor guides you through different definitions and explains the following aspects in depth:

Common law
The English legal system
The court system
You will be able to improve core skills like reading comprehension, logical thinking in a legal context and particular wording as well as written legal communication.

Learning content
Course Introduction: Legal English
Introduction into legal English
Basic legal Principles
The English legal System
The sources of law
The English courts
Reading comprehension
Logical reasoning
Formal logic
Legal writing
English contracts
Grammar for law   
Quiz „Legal English“"
Lean Botschafter,"Mit Dr. Markus Maier, Geschäftsführer der LEAN Akademie Deutschland®, lernst Du in diesem Kurs, die Grundhaltung und Philosophie des Lean Managements kennen. Dir werden, unter anderem, die 5S-Methode, sowie die acht Verschwendungsarten nach Muda näher gebracht. Auch die PDCA-Logik wirst Du in diesem Kurs erlernen, sodass Du diese sofort anwenden kannst."
Erste Hilfe Online-Kurs,"In einem Notfall handlungsfähig zu sein, ist mehr als nur wichtig – es kann Leben retten. Weißt Du, was im Notfall zu tun ist? Wann hast Du das letzte Mal an einem Erste-Hilfe-Kurs teilgenommen? Dieses Online-Training frischt Dein Wissen über Erste Hilfe im Pflegebereich auf und bereitet Dich durch Fallbeispiele auf den Notfall vor. Du erhältst Informationen über gesetzliche Grundlagen, lernst die richtige Reihenfolge der Rettungskette und Erster-Hilfe-Maßnahmen bei typischen Unfällen im Pflegebereich kennen."
Verhandlungstraining: Erfolgreich verhandeln,"Im Leben bekommt man nicht das, was man verdient, sondern das, was man aushandelt!!!

In diesem Online-Kurs lernst Du, wie Du erfolgreich verhandelst und wie Du in beruflichen und privaten Situationen mehr für Dich herausholen kannst.
Der Kurs ist ideal für diejenigen, die in ca. 3 Stunden das Wichtigste über das professionelle Verhandeln lernen wollen.

In diesem Kurs lernst Du die Theorie des Verhandelns mit den 10 Grundregeln sowie die 10 gängigsten Manipulationstechniken. Außerdem erklären wir Dir wie Du Dich optimal auf Deine Verhandlung vorbereiten kannst. Somit eignest Du Dir die besten Verhandlungstechniken an und kannst jedes Argument entkräften! Schließlich zeigen wir Dir die Frage-Technik auf, damit Du Deinen Gegenüber analysieren kannst! Darüber hinaus gibt es einen F&Q-Abschnitt bei dem unser Trainer Wlad die am häufigsten gestellten Fragen in seinen Coachings beantwortet!

Neben Theorie gibt es auch praktische Verhandlungsübungen für den Alltag sowie im Bonusteil eine Analyse einer echten Verhandlungssituation."
"Learn statistics, become data smart","Statistics: Basic and advanced principles David Spade did his Ph. D. in statistics, thereby gaining great knowledge in this specific field. In this course he assists students of economics in mastering fundamental and advanced concepts.

Included are elements such as comparing distributions, probability, confidence intervals for proportions and the comparing of two means.

He also addresses the following topics:

Contingency tables
Linear regression
Sampling distributions for proportions and means
Hypothesis tests"
Reklamation - Eine Reklameaktion,"Mehr Erfolg und zufriedenere Kunden durch Reklamationen! Machst Du beim direkten Kundenkontakt alles richtig? Stellst Du Deine Kunden zufrieden und wirst Du so erfolgreicher?

Egal ob Angestellter im Service, Unternehmer oder Freiberufler – dieser Kurs richtet sich an alle, die den Kundenkontakt optimieren wollen.

Die erfahrene Trainerin Gaby Graupner hat selbst jahrelang in Unternehmen gearbeitet und gibt Ihr Praxiswissen an Dich weiter.

Mit anschaulichen Beispielen vermittelt sie

den Nutzen von Reklamationen für das Unternehmen
die Herstellung des positiven Kundenkontaktes trotz Beschwerden
die erfolgreiche und lösungsorientierte Kommunikation in schwierigen Situationen"
Steigere Deinen Verkaufserfolg,"Wie Du Deine Abschlussquote im Vertrieb erhöhst!

Jeder Vertriebsmanager wird anhand seiner Abschlussquote gemessen. Dass der Verkaufserfolg lernbar ist, hat der berufserfahrene Vertriebsexperte und Verkaufsberater mit Spezialisierung im B2B-Geschäft bewiesen.

Dieser Kurs basiert auf der von ihm eigens entwickelten learn2sell-Methode, die den Vertragsabschluss im Vertrieb nachhaltig steigert.

Folgende für den Vertrieb essentielle Kompetenzen kannst Du verbessern:

Verständnis von Kundenbedürfnissen
Methodische und soziale Kompetenzen
Praktische Tools für Vertrieb und Verkauf
Strategisches Denken im Vertrieb"
Schwarze Rhetorik: Manipulation durch Sprache,"Menschen lassen sich durch Sprache manipulieren. Du denkst Dir kann das nicht passieren?
Richtig! Solange Du die Manipulationstechniken kennst und auch weißt wie Du ihnen am besten begegnest!

In diesem Seminar lernst Du, wie du Manipulation durch Sprache lernen kannst, was schwarze Rhetorik bedeutet und welche Formen existieren.

Lerne die Definition von schwarzer Rhetorik und welche Manipulationstechniken es gibt.
Der Fokus liegt hier auf drei verschiedene Themengebiete.

Im ersten Teil geht es um Scheinargumente, die oft bei der Manipulation durch Rhetorik angewandt werden. Bei Scheinargumenten handelt es sich um vorgezogene Argumente. Beispielsweise, wenn man die Argumente des Gegenübers aus dem Kontext zieht wie hier anschaulich erklärt wird. Du lernst, welche Scheinargumente es noch gibt und wie Du diese einfach entkräften kannst.

Des Weiteren wird Dir gezeigt wie Du alle sprachlichen Tricks, die in der schwarzen Rhetorik vorkommen, erkennen kannst. Nach unserem Seminar wirst Du jeden Hochstapler und Blender entlarven können!
Ein Beispiel für einen sprachlichen Trick in der schwarzen Rhetorik ist das Framing bei dem man den Fokus einer Aussage verändert. Beispielsweise spricht man von einem ""halbleeren"" Glas anstatt einem ""halbvollem"".

Der letzte Abschnitt handelt von der kognitiven Verzerrung, also um das Fehlinterpretieren des Gehirns wie es bei dem ""Halo-Effekt"" der Fall ist.

Unser erfahrener Trainer erklärt Dir anschaulich mit welchen einfachen Methoden wir unser Gehirn austricksen können.

Durch das Seminar wirst Du von unserem Rhetorik-Profi Wlad geführt, der zu den erfolgreichsten Turnier-Rednern Europas zählt (TOP10-Speaker bei der Debattier-Europameisterschaft 2015). Er gibt Dir ausschließlich Tipps, die auch wirklich funktionieren!
Wlad ist Autor des des Sachbuchs ""Schwarze Rhetorik: Manipuliere, bevor Du manipuliert wirst!"" (Goldmann) und seine Analysen fußen auf wissenschaftlichen Studien und Experimenten der Sozialpsychologie.
Von nun an wirst Du nichts mehr kaufen oder glauben aufgrund von dunkler Rhetorik!

Schau doch gerne mal in die Gratisinhalte unter „Lerninhalte“ hinein, um einen ersten Eindruck zu gewinnen!"
